phi, dN/dphi
-1.3,0.0197107
-1.29,0.0199346
-1.28,0.0201621
-1.27,0.0203932
-1.26,0.0206281
-1.25,0.0208667
-1.24,0.0211091
-1.23,0.0213554
-1.22,0.0216057
-1.21,0.0218599
-1.2,0.0221183
-1.19,0.0223808
-1.18,0.0226475
-1.17,0.0229184
-1.16,0.0231937
-1.15,0.0234735
-1.14,0.0237577
-1.13,0.0240464
-1.12,0.0243398
-1.11,0.0246378
-1.1,0.0249406
-1.09,0.0252483
-1.08,0.0255608
-1.07,0.0258783
-1.06,0.0262009
-1.05,0.0265286
-1.04,0.0268615
-1.03,0.0271996
-1.02,0.0275431
-1.01,0.0278921
-1,0.0282465
-0.99,0.0286065
-0.98,0.0289721
-0.97,0.0293435
-0.96,0.0297207
-0.95,0.0301037
-0.94,0.0304927
-0.93,0.0308877
-0.92,0.0312888
-0.91,0.031696
-0.9,0.0321095
-0.89,0.0325293
-0.88,0.0329555
-0.87,0.0333881
-0.86,0.0338272
-0.85,0.0342729
-0.84,0.0347252
-0.83,0.0351843
-0.82,0.0356501
-0.81,0.0361227
-0.8,0.0366022
-0.79,0.0370885
-0.78,0.0375819
-0.77,0.0380823
-0.76,0.0385897
-0.75,0.0391042
-0.74,0.0396258
-0.73,0.0401545
-0.72,0.0406904
-0.71,0.0412335
-0.7,0.0417838
-0.69,0.0423413
-0.68,0.042906
-0.67,0.0434778
-0.66,0.0440569
-0.65,0.044643
-0.64,0.0452363
-0.63,0.0458366
-0.62,0.046444
-0.61,0.0470583
-0.6,0.0476794
-0.59,0.0483074
-0.58,0.0489421
-0.57,0.0495833
-0.56,0.050231
-0.55,0.0508851
-0.54,0.0515453
-0.53,0.0522115
-0.52,0.0528836
-0.51,0.0535613
-0.5,0.0542444
-0.49,0.0549327
-0.48,0.055626
-0.47,0.0563239
-0.46,0.0570262
-0.45,0.0577325
-0.44,0.0584426
-0.43,0.059156
-0.42,0.0598724
-0.41,0.0605913
-0.4,0.0613124
-0.39,0.0620351
-0.38,0.0627591
-0.37,0.0634837
-0.36,0.0642084
-0.35,0.0649326
-0.34,0.0656558
-0.33,0.0663773
-0.32,0.0670963
-0.31,0.0678123
-0.3,0.0685244
-0.29,0.0692319
-0.28,0.0699339
-0.27,0.0706297
-0.26,0.0713181
-0.25,0.0719985
-0.24,0.0726696
-0.23,0.0733306
-0.22,0.0739802
-0.21,0.0746175
-0.2,0.0752411
-0.19,0.0758499
-0.18,0.0764425
-0.17,0.0770176
-0.16,0.0775738
-0.15,0.0781095
-0.14,0.0786233
-0.13,0.0791135
-0.12,0.0795784
-0.11,0.0800162
-0.1,0.0804252
-0.09,0.0808035
-0.08,0.0811491
-0.07,0.0814601
-0.06,0.0817347
-0.05,0.081971
-0.04,0.0821671
-0.03,0.0823216
-0.02,0.0824331
-0.01,0.0825005
9.74915e-16,0.0825231
0.01,0.0825005
0.02,0.0824331
0.03,0.0823216
0.04,0.0821671
0.05,0.081971
0.06,0.0817347
0.07,0.0814601
0.08,0.0811491
0.09,0.0808035
0.1,0.0804252
0.11,0.0800162
0.12,0.0795784
0.13,0.0791135
0.14,0.0786233
0.15,0.0781095
0.16,0.0775738
0.17,0.0770176
0.18,0.0764425
0.19,0.0758499
0.2,0.0752411
0.21,0.0746175
0.22,0.0739802
0.23,0.0733306
0.24,0.0726696
0.25,0.0719985
0.26,0.0713181
0.27,0.0706297
0.28,0.0699339
0.29,0.0692319
0.3,0.0685244
0.31,0.0678123
0.32,0.0670963
0.33,0.0663773
0.34,0.0656558
0.35,0.0649326
0.36,0.0642084
0.37,0.0634837
0.38,0.0627591
0.39,0.0620351
0.4,0.0613124
0.41,0.0605913
0.42,0.0598724
0.43,0.059156
0.44,0.0584426
0.45,0.0577325
0.46,0.0570262
0.47,0.0563239
0.48,0.055626
0.49,0.0549327
0.5,0.0542444
0.51,0.0535613
0.52,0.0528836
0.53,0.0522115
0.54,0.0515453
0.55,0.0508851
0.56,0.050231
0.57,0.0495833
0.58,0.0489421
0.59,0.0483074
0.6,0.0476794
0.61,0.0470583
0.62,0.046444
0.63,0.0458366
0.64,0.0452363
0.65,0.044643
0.66,0.0440569
0.67,0.0434778
0.68,0.042906
0.69,0.0423413
0.7,0.0417838
0.71,0.0412335
0.72,0.0406904
0.73,0.0401545
0.74,0.0396258
0.75,0.0391042
0.76,0.0385897
0.77,0.0380823
0.78,0.0375819
0.79,0.0370885
0.8,0.0366022
0.81,0.0361227
0.82,0.0356501
0.83,0.0351843
0.84,0.0347252
0.85,0.0342729
0.86,0.0338272
0.87,0.0333881
0.88,0.0329555
0.89,0.0325293
0.9,0.0321095
0.91,0.031696
0.92,0.0312888
0.93,0.0308877
0.94,0.0304927
0.95,0.0301037
0.96,0.0297207
0.97,0.0293435
0.98,0.0289721
0.99,0.0286065
1,0.0282465
1.01,0.0278921
1.02,0.0275431
1.03,0.0271996
1.04,0.0268615
1.05,0.0265286
1.06,0.0262009
1.07,0.0258783
1.08,0.0255608
1.09,0.0252483
1.1,0.0249406
1.11,0.0246378
1.12,0.0243398
1.13,0.0240464
1.14,0.0237577
1.15,0.0234735
1.16,0.0231937
1.17,0.0229184
1.18,0.0226475
1.19,0.0223808
1.2,0.0221183
1.21,0.0218599
1.22,0.0216057
1.23,0.0213554
1.24,0.0211091
1.25,0.0208667
1.26,0.0206281
1.27,0.0203932
1.28,0.0201621
1.29,0.0199346
