PT [GEV],(1/(2*PI*PT))*D2(N)/DETARAP(P=3)/DPT(P=3) [GEV**-2],error +,error -
0.15,9.95,0.45,-0.45
0.25,6.43,0.29,-0.29
0.35,3.7,0.17,-0.17
0.45,2.24,0.1,-0.1
0.55,1.41,0.064,-0.064
0.65,0.92,0.042,-0.042
0.75,0.617,0.028,-0.028
0.85,0.427,0.02,-0.02
0.95,0.299,0.014,-0.014
1.1,0.183,0.0085,-0.0085
1.3,0.0996,0.0047,-0.0047
1.5,0.0566,0.0027,-0.0027
1.7,0.0338,0.0017,-0.0017
1.9,0.0208,0.001,-0.001
2.1,0.0132,0.00068,-0.00068
2.3,0.00852,0.00045,-0.00045
2.5,0.00556,0.00031,-0.00031
2.7,0.00369,0.00021,-0.00021
2.9,0.00275,0.00016,-0.00016
3.1,0.00178,0.00011,-0.00011
3.3,0.00125,8.10E-05,-8.10E-05
3.5,0.000932,6.30E-05,-6.30E-05
3.7,0.000728,5.10E-05,-5.10E-05
3.9,0.000484,3.60E-05,-3.60E-05
4.1,0.000397,3.10E-05,-3.10E-05
4.3,0.000282,2.40E-05,-2.40E-05
4.5,0.00019,1.80E-05,-1.80E-05
4.7,0.00014,1.40E-05,-1.40E-05
4.9,0.000115,1.20E-05,-1.20E-05
5.1,8.94E-05,1.00E-05,-1.00E-05
5.3,6.56E-05,8.80E-06,-8.80E-06
5.5,5.48E-05,8.10E-06,-8.10E-06
5.7,4.50E-05,7.50E-06,-7.50E-06
5.9,3.61E-05,5.60E-06,-5.60E-06
