phi,Alice,CMS
-1.28,0.0023009,0.00227581
-1.2544,0.0024065,0.00237646
-1.2288,0.00251769,0.00248231
-1.2032,0.00263476,0.00259363
-1.1776,0.00275799,0.00271068
-1.152,0.00288769,0.00283373
-1.1264,0.00302415,0.00296305
-1.1008,0.00316768,0.00309892
-1.0752,0.0033186,0.00324163
-1.0496,0.00347722,0.00339147
-1.024,0.00364388,0.00354873
-0.9984,0.00381888,0.00371369
-0.9728,0.00400256,0.00388666
-0.9472,0.00419521,0.0040679
-0.9216,0.00439715,0.00425771
-0.896,0.00460868,0.00445632
-0.8704,0.00483005,0.00466401
-0.8448,0.00506154,0.00488098
-0.8192,0.00530335,0.00510745
-0.7936,0.00555569,0.00534357
-0.768,0.0058187,0.00558948
-0.7424,0.00609247,0.00584526
-0.7168,0.00637706,0.00611093
-0.6912,0.00667241,0.00638647
-0.6656,0.00697843,0.00667175
-0.64,0.00729491,0.0069666
-0.6144,0.00762155,0.00727072
-0.5888,0.00795791,0.0075837
-0.5632,0.00830345,0.00790504
-0.5376,0.00865746,0.00823409
-0.512,0.00901907,0.00857003
-0.4864,0.00938726,0.00891192
-0.4608,0.00976078,0.00925861
-0.4352,0.0101382,0.00960877
-0.4096,0.0105178,0.00996088
-0.384,0.0108978,0.0103132
-0.3584,0.0112761,0.0106638
-0.3328,0.0116501,0.0110103
-0.3072,0.0120173,0.0113506
-0.2816,0.0123749,0.0116817
-0.256,0.0127196,0.0120009
-0.2304,0.013048,0.012305
-0.2048,0.0133567,0.0125908
-0.1792,0.0136419,0.0128549
-0.1536,0.0138998,0.0130935
-0.128,0.0141265,0.0133034
-0.1024,0.0143182,0.0134809
-0.0768,0.0144716,0.0136228
-0.0512,0.0145836,0.0137265
-0.0256,0.0146518,0.0137896
-6.245e-17,0.0146747,0.0138108
0.0256,0.0146518,0.0137896
0.0512,0.0145836,0.0137265
0.0768,0.0144716,0.0136228
0.1024,0.0143182,0.0134809
0.128,0.0141265,0.0133034
0.1536,0.0138998,0.0130935
0.1792,0.0136419,0.0128549
0.2048,0.0133567,0.0125908
0.2304,0.013048,0.012305
0.256,0.0127196,0.0120009
0.2816,0.0123749,0.0116817
0.3072,0.0120173,0.0113506
0.3328,0.0116501,0.0110103
0.3584,0.0112761,0.0106638
0.384,0.0108978,0.0103132
0.4096,0.0105178,0.00996088
0.4352,0.0101382,0.00960877
0.4608,0.00976078,0.00925861
0.4864,0.00938726,0.00891192
0.512,0.00901907,0.00857003
0.5376,0.00865746,0.00823409
0.5632,0.00830345,0.00790504
0.5888,0.00795791,0.0075837
0.6144,0.00762155,0.00727072
0.64,0.00729491,0.0069666
0.6656,0.00697843,0.00667175
0.6912,0.00667241,0.00638647
0.7168,0.00637706,0.00611093
0.7424,0.00609247,0.00584526
0.768,0.0058187,0.00558948
0.7936,0.00555569,0.00534357
0.8192,0.00530335,0.00510745
0.8448,0.00506154,0.00488098
0.8704,0.00483005,0.00466401
0.896,0.00460868,0.00445632
0.9216,0.00439715,0.00425771
0.9472,0.00419521,0.0040679
0.9728,0.00400256,0.00388666
0.9984,0.00381888,0.00371369
1.024,0.00364388,0.00354873
1.0496,0.00347722,0.00339147
1.0752,0.0033186,0.00324163
1.1008,0.00316768,0.00309892
1.1264,0.00302415,0.00296305
1.152,0.00288769,0.00283373
1.1776,0.00275799,0.00271068
1.2032,0.00263476,0.00259363
1.2288,0.00251769,0.00248231
1.2544,0.0024065,0.00237646
1.28,0.0023009,0.00227581
